predicited,ground_truth
1.0,1.0
7.726600775087699e-32,0.0
9.569104416029139e-33,0.0
5.1442953563524374e-33,0.0
2.03431316839534e-32,0.0
1.0,1.0
3.4207417520122314e-32,0.0
1.152508146539133e-31,0.0
1.0,1.0
1.2742400088886868e-33,0.0
2.103643766432121e-31,0.0
1.3603138011190233e-32,0.0
4.7820979227468463e-32,0.0
1.1834993498019522e-31,0.0
5.676734420531439e-33,0.0
2.609611329658818e-31,0.0
5.9139590987609613e-33,0.0
1.4281500519623214e-31,0.0
9.430713759980419e-32,0.0
1.0,1.0
1.5062849470255954e-35,0.0
8.429946099397018e-37,0.0
3.86039386727186e-37,0.0
2.2093337043842976e-36,0.0
1.0,1.0
6.028361061623086e-36,0.0
1.7210979300606036e-35,0.0
1.0,1.0
8.83231359519672e-38,0.0
1.648987550533647e-35,0.0
1.7590843557364513e-36,0.0
6.725636415498909e-36,0.0
1.98672306264094e-35,0.0
4.843090176516448e-37,0.0
3.717326971004635e-35,0.0
5.878589205558829e-37,0.0
3.09324393359488e-35,0.0
1.52487804767352e-35,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
